station_id,current_label,override_label (Yes/No),notes
ACW00011604,No,,
ACW00011647,No,,
AE000041196,No,,
AEM00041194,No,,
AEM00041217,No,,
AEM00041218,No,,
AF000040930,Yes,,
AFM00040938,No,,
AFM00040948,Yes,,
AFM00040990,No,,
AG000060390,No,,
AG000060590,No,,
AG000060611,No,,
AG000060680,No,,
AGE00135039,No,,
AGE00147704,No,,
AGE00147705,No,,
AGE00147706,No,,
AGE00147707,No,,
AGE00147708,No,,
AGE00147709,No,,
AGE00147710,No,,
AGE00147711,No,,
AGE00147712,No,,
AGE00147713,No,,
AGE00147714,No,,
AGE00147715,No,,
AGE00147716,No,,
AGE00147717,No,,
AGE00147718,No,,
AGE00147719,No,,
AGE00147720,No,,
AGE00147780,No,,
AGE00147794,No,,
AGM00060351,No,,
AGM00060353,No,,
AGM00060355,No,,
AGM00060360,No,,
AGM00060367,No,,
AGM00060369,No,,
AGM00060387,No,,
AGM00060402,No,,
AGM00060403,No,,
AGM00060405,No,,
AGM00060410,No,,
AGM00060415,No,,
AGM00060417,No,,
AGM00060419,No,,
AGM00060421,No,,
AGM00060423,No,,
AGM00060425,No,,
AGM00060430,No,,
AGM00060437,No,,
AGM00060444,No,,
AGM00060445,No,,
AGM00060452,No,,
AGM00060457,No,,
AGM00060461,No,,
AGM00060467,No,,
AGM00060468,No,,
AGM00060471,No,,
AGM00060475,No,,
AGM00060476,No,,
AGM00060490,No,,
AGM00060506,No,,
AGM00060507,No,,
AGM00060511,No,,
AGM00060514,No,,
AGM00060515,No,,
AGM00060518,No,,
AGM00060520,No,,
AGM00060522,No,,
AGM00060531,No,,
AGM00060535,No,,
AGM00060536,No,,
AGM00060540,No,,
AGM00060549,No,,
AGM00060550,No,,
AGM00060555,No,,
AGM00060557,No,,
AGM00060559,No,,
AGM00060560,No,,
AGM00060563,No,,
AGM00060566,No,,
AGM00060571,No,,
AGM00060580,No,,
AGM00060581,No,,
AGM00060602,No,,
AGM00060603,No,,
AGM00060607,No,,
AGM00060620,No,,
AGM00060630,No,,
AGM00060640,No,,
AGM00060656,No,,
AGM00060670,No,,
AGM00060686,No,,
AGM00060690,No,,
AJ000037575,No,,
AJ000037579,Yes,,
